Month,Mean_Return,Min_Return,Max_Return,Volatility,Ticker,Month_Num,Year,Volatility_Level,Prev_Month_Return,momentum_rsi,trend_macd,volatility_bbm,trend_ema_fast
2024-09-01,-0.0001377354463518,-0.0549145561231572,0.0223357839129689,0.0157055760458739,V,9,2024,Low,0.0019502070980659,63.72306658862773,4.22583266644138,274.65528633117674,277.95962864771195
2024-10-01,0.0023542388442914,-0.014895779764544,0.0294675549995084,0.0109761727171773,V,10,2024,Low,-0.0001377354463518,54.46754315626933,1.1475400157129243,278.7259173185929,278.9063753822117
2024-11-01,0.0043445443820174,-0.01430175948619,0.0481093739850604,0.0120351020207281,V,11,2024,Low,0.0023542388442914,71.06729978269355,6.313348120994595,293.8146739196777,299.2475177004438
2024-12-01,0.0001927828491553,-0.0267671764915367,0.0164633508078517,0.0100044541776064,V,12,2024,Low,0.0043445443820174,60.2819759181879,4.138934518649824,311.200269644601,312.07016124220183
2025-01-01,0.0039689286091459,-0.0156429833186307,0.0232618176940628,0.0095846740271695,V,1,2025,Low,0.0001927828491553,60.212224914873914,2.5215964396215353,315.25951820373535,316.91795548449403
2025-02-01,0.0032541528238001,-0.0133434851775816,0.0195929370423924,0.0086535176677625,V,2,2025,Low,0.0039689286091459,74.05716202205,8.339227763308994,338.1207441631116,344.34416064661144
2025-03-01,-0.001524894217791,-0.0273514680427934,0.0244592520803146,0.0151623300523693,V,3,2025,Low,0.0032541528238001,48.56421685812605,0.6674803543774682,346.7603480021159,343.89237861945026
2025-04-01,-0.0002767319565571,-0.0773741109476773,0.078372828864641,0.0290415870750249,V,4,2025,Medium,-0.001524894217791,46.8847857979834,-2.4712204936680755,334.7915334065755,333.3249644534383
2024-05-01,-0.001005720768675,-0.0247557672235094,0.0149430778503296,0.0104707429437375,JNJ,5,2024,Low,,41.279983623103014,-3.711300181776375,144.4909890608354,145.21652056156756
2024-06-01,-0.0001614168602147,-0.0129425410806225,0.0146239945702071,0.006794697651793,JNJ,6,2024,Low,-0.001005720768675,44.051398740001765,-1.2926113527277234,144.26103748522306,143.6319690943592
2024-07-01,0.0035948611631697,-0.0215706520144548,0.0368849843081469,0.0138903309097648,JNJ,7,2024,Low,-0.0001614168602147,59.223099860181975,0.9140198491135707,145.05117461464621,146.56098539654306
2024-08-01,0.0026361253190101,-0.0176069940680279,0.0210252095140428,0.0090572538902588,JNJ,8,2024,Low,0.0035948611631697,61.53153930479085,2.413925010149892,154.91229941628197,156.09814356763448
2024-09-01,-0.0011288750521169,-0.0152945380765128,0.0135661594444167,0.0078490314453238,JNJ,9,2024,Low,0.0026361253190101,57.464624196026406,1.8425382883828731,161.0771131896973,161.83004842035643
2024-10-01,-0.0005631831942633,-0.0170464427442851,0.0154702833744895,0.0080341102287531,JNJ,10,2024,Low,-0.0011288750521169,48.50900921459396,-0.138287597293607,159.94389771171237,159.66458227454507
2024-11-01,-0.0011091439924443,-0.0154797451983179,0.0156096571070216,0.0080869322197103,JNJ,11,2024,Low,-0.0005631831942633,37.426499893704964,-1.6482647661469898,156.4027764892578,154.69632290500294
2024-12-01,-0.0032569204774326,-0.0188922561702321,0.0177962213489433,0.0093179463978071,JNJ,12,2024,Low,-0.0011091439924443,33.01749866849455,-2.209849195588517,149.63163383120582,148.15371252226865
2025-01-01,0.0026484889257065,-0.027080556717537,0.0413430834583561,0.0150829565536997,JNJ,1,2025,Low,-0.0032569204774326,48.93718837073184,-0.9031769532061815,144.18108379364014,144.67223124171437
2025-02-01,0.0047490818604075,-0.0181226718839372,0.0187108445299866,0.0097226498106413,JNJ,2,2025,Low,0.0026484889257065,66.84798300681271,2.6352649776827826,151.1125009235583,153.73371257676968
2025-03-01,0.0002711331965813,-0.0181478023378717,0.0136952760169883,0.0085703658154944,JNJ,3,2025,Low,0.0047490818604075,60.01808907422277,2.7603145289923625,162.58591791788737,163.45619802653405
2025-04-01,-0.0025566341120937,-0.0759165256627185,0.0287075611247777,0.0229322629448736,JNJ,4,2025,Medium,0.0002711331965813,43.73806918721834,-1.5050166731076873,158.15600117274693,156.387103137814
